timestamp,iteration,train_period,test_period,fitness,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,volatility,downside_deviation,total_trades,win_rate,profit_factor,avg_win,avg_loss,winning_trades,losing_trades,largest_win,largest_loss,avg_trade_duration,max_consecutive_wins,max_consecutive_losses,recovery_factor,ulcer_index,calmar_ratio,final_portfolio_value,total_commission,error
2025-06-24T18:36:03.970216,0,2010-2014Nov,2015,-1000.0,0.501100969696969,0.5035322011275942,1.628079946389635,1.9734892865122742,-0.19551959999482052,0.30927977599884277,1.0,316,0.6170886075949367,1.7009462392525911,627.2273696435275,-604.257519479184,195,119,0.0,0.0,6.474683544303797,30,10,0.0,0.0,2.5753540879836763,150110.0969696969,0.0,
2025-06-24T18:36:50.321509,0,2010-2014Nov,2015,-1000.0,0.6405358430254262,0.6437745051337882,2.0587751249259663,2.5690078175142053,-0.11218968810735946,0.31269782568260746,1.0,299,0.6655518394648829,1.8246943165818554,676.783202512653,-753.1586226112951,199,98,0.0,0.0,6.7558528428093645,31,10,0.0,0.0,5.738268070749344,164053.58430254261,0.0,
2025-06-24T18:36:51.728535,0,2010-2015Nov,2016,-1000.0,0.565304281526162,0.565304281526162,2.285710106410832,3.079991766907748,-0.1251556726734959,0.24732107538074408,1.0,319,0.6551724137931034,1.811075534407294,606.9679869934805,-636.7703352941768,209,110,0.0,0.0,6.432601880877743,23,9,0.0,0.0,4.51680910222039,156530.4281526162,0.0,
2025-06-24T18:36:53.130477,0,2010-2016Nov,2017,-1000.0,0.6120867718987892,0.6151566989979085,3.676435663900424,4.415295403783838,-0.08362405270745972,0.1673242116102402,1.0,299,0.6822742474916388,3.799614787736628,449.3023667502614,-253.92513919508303,204,95,0.0,0.0,8.638795986622073,20,11,0.0,0.0,7.356217249478428,161208.67718987892,0.0,
2025-06-24T18:36:54.515685,0,2010-2017Nov,2018,-1000.0,0.37549645559110134,0.3790091614853568,0.9645758950940061,1.275933372569953,-0.2689519497527888,0.3929282946143073,1.0,317,0.668769716088328,1.3856970156496198,636.3440448090139,-927.1932565752461,212,105,0.0,0.0,7.457413249211356,23,12,0.0,0.0,1.4092077110194914,137549.64555911013,0.0,
2025-06-24T18:36:55.932503,0,2010-2018Nov,2019,-1000.0,0.24807692681271987,0.24917932065350246,1.0244975923625785,1.1395308065091716,-0.18449200217465994,0.2432209919389598,1.0,318,0.6226415094339622,1.442345097218967,442.6362930973666,-506.3627872544972,198,120,0.0,0.0,6.666666666666667,21,11,0.0,0.0,1.3506239713177515,124807.69268127199,0.0,
2025-06-24T18:36:57.323762,0,2010-2019Nov,2020,-1000.0,2.078163772286881,2.078163772286881,4.433635321535962,5.235525570975292,-0.20593586957650264,0.4687268170641817,1.0,316,0.680379746835443,2.6384086118064967,1543.420970639856,-1245.258248215761,215,101,0.0,0.0,6.8924050632911396,22,9,0.0,0.0,10.091315206819125,307816.3772286881,0.0,
2025-06-24T18:36:58.744793,0,2010-2020Nov,2021,-1000.0,1.4372470882336095,1.4459129290605457,4.438922533421038,5.779981261986377,-0.16005234836983145,0.32573511210753064,1.0,305,0.659016393442623,2.614831758018259,1072.1646552688778,-792.4656626429368,201,104,0.0,0.0,7.518032786885246,17,16,0.0,0.0,9.034000086768414,243724.70882336094,0.0,
2025-06-24T18:37:00.133680,0,2010-2021Nov,2022,-1000.0,1.1068905726064733,1.1131551771484784,2.8123586509577656,4.229822605156587,-0.2023458546810444,0.395808399746379,1.0,322,0.6242236024844721,1.9197219323005008,1101.694933962627,-961.2532853526533,201,120,0.0,0.0,5.108695652173913,13,16,0.0,0.0,5.501250217866499,210689.05726064733,0.0,
2025-06-24T18:37:01.534311,0,2010-2022Nov,2023,-1000.0,1.4057528571931641,1.4227076928943134,5.287990834351773,6.946429318814179,-0.19162499712274145,0.26904503760712656,1.0,306,0.6405228758169934,2.1950932489695862,1296.177880607615,-1071.6277413117589,196,108,0.0,0.0,5.683006535947713,29,10,0.0,0.0,7.42443686500372,240575.2857193164,0.0,
2025-06-24T18:37:02.918662,0,2010-2023Nov,2024,-1000.0,0.29364602370606785,0.294973668910238,1.0130686503576392,1.2374080210304932,-0.2145656596266289,0.2911684897228878,1.0,297,0.6262626262626263,1.4491512083725728,556.2939213284886,-655.0539312557195,186,109,0.0,0.0,7.2727272727272725,16,10,0.0,0.0,1.3747478017849133,129364.6023706068,0.0,
2025-06-24T18:37:03.854234,0,2010-2024Nov,2025Jan-May,-1000.0,0.15838654377956796,0.4379895025906624,0.8569122412977127,1.844868416005502,-0.20931881544024786,0.5111252722068349,1.0,167,0.5868263473053892,1.2606278579161743,782.4880482378027,-881.5923189772186,98,69,0.0,0.0,7.580838323353293,11,19,0.0,0.0,2.0924516588222852,115838.65437795679,0.0,
2025-07-08T13:31:17.722054,0,2010-2014Nov,2015,-1000.0,0.15108680866140034,0.15173227024051505,0.9603048975628234,1.5532600347287242,-0.08949136983554112,1.6954961190040385,0.13717754702161883,1.0,344,0.6366279069767442,1.849180879186588,258.0727485478433,-244.51012907656113,219,125,0.0,0.0,5.683139534883721,18,8,0.0,0.0,1.6954961190040385,115108.68086614003,0.0,
2025-07-08T13:31:19.307424,0,2010-2015Nov,2016,-1000.0,0.2814845681633771,0.2814845681633771,2.696462796382666,4.592978996608298,-0.03442635146775201,8.176427537697407,0.09697317853380416,1.0,332,0.6475903614457831,2.5934846382603514,269.30149630571105,-190.8128792006551,215,117,0.0,0.0,4.828313253012048,16,11,0.0,0.0,8.176427537697407,128148.45681633771,0.0,
2025-07-08T13:31:20.879584,0,2010-2016Nov,2017,-1000.0,0.11005642547446337,0.11051828221644433,1.8215456091596338,2.795742702091307,-0.02923933509653798,3.779780964633837,0.049693118723612276,1.0,319,0.664576802507837,2.8939952567408245,145.33397004137223,-100.43829180635578,212,106,0.0,0.0,4.952978056426332,19,9,0.0,0.0,3.779780964633837,111005.64254744633,0.0,
2025-07-08T13:31:22.457756,0,2010-2017Nov,2018,-1000.0,-0.12734817551682853,-0.12829862902709532,-0.6711029985683629,-0.6385913236334371,-0.22335973366771775,-0.574403572749417,0.2209774495769723,1.0,332,0.5903614457831325,0.8297018713651726,178.85314548598103,-310.66453368482775,196,136,0.0,0.0,4.867469879518072,19,12,0.0,0.0,0.574403572749417,87265.18244831715,0.0,
2025-07-08T13:31:24.036616,0,2010-2018Nov,2019,-1000.0,0.08676910413056227,0.08712943937266404,0.5940911034928025,0.7404052036576311,-0.09117302855570701,0.955649283048963,0.11299519379770905,1.0,339,0.5693215339233039,1.0209836027878192,203.76700955238792,-265.64669150636564,193,145,0.0,0.0,4.849557522123894,12,11,0.0,0.0,0.955649283048963,108676.91041305623,0.0,
2025-07-08T13:31:25.614110,0,2010-2019Nov,2020,-1000.0,0.17603045836433617,0.17603045836433617,0.5567461008153249,0.7719352923656118,-0.1392356527881542,1.2642628151581616,0.2802542454016973,1.0,337,0.6023738872403561,1.5384140149271939,332.58021331976863,-329.964772766655,203,133,0.0,0.0,4.166172106824926,25,10,0.0,0.0,1.2642628151581616,117603.04583643362,0.0,
2025-07-08T13:31:27.163413,0,2010-2020Nov,2021,-1000.0,0.38697076147905474,0.3887795444104192,3.1787832378275347,4.85868156669557,-0.0437913363088182,8.8780013852222,0.11601280012488456,1.0,333,0.7087087087087087,2.9175395522585994,286.80484520191686,-239.17181554062873,236,97,0.0,0.0,4.771771771771772,25,7,0.0,0.0,8.8780013852222,138697.07614790546,0.0,
2025-07-08T13:31:28.719434,0,2010-2021Nov,2022,-1000.0,0.26879625190161893,0.27000025136219397,1.8779160219690412,2.8421347901945286,-0.05532027993601548,4.8806739892582165,0.1331264276131275,1.0,331,0.649546827794562,2.1028234112791133,339.5990458110747,-301.928616783594,215,115,0.0,0.0,4.02416918429003,19,8,0.0,0.0,4.8806739892582165,126879.6251901619,0.0,
2025-07-08T13:31:30.309699,0,2010-2022Nov,2023,-1000.0,0.08735839600880779,0.08808718125712578,0.7186027162530739,1.1775105985904784,-0.10037034482298804,0.8776215864603762,0.09474940703278273,1.0,326,0.5920245398773006,1.9130585603242778,302.93497629868364,-229.78772356392633,193,133,0.0,0.0,5.064417177914111,17,17,0.0,0.0,0.8776215864603762,108735.83960088078,0.0,
2025-07-08T13:31:31.845831,0,2010-2023Nov,2024,-1000.0,0.11315682173530783,0.11363234307218195,0.7848352257730732,1.1133332386142454,-0.07577454430125528,1.4996110385093997,0.11930191204141333,1.0,339,0.5457227138643068,1.4181856927900154,245.83957027749204,-208.24265679988758,185,154,0.0,0.0,4.994100294985251,14,15,0.0,0.0,1.4996110385093997,111315.68217353077,0.0,
